STT,product_name,product_url,product_price,product_revenue
1,điện thoại samsung j2prime ram 1.5gb chính hãng,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-samsung-j2prime-ram-1.5gb-ch%C3%ADnh-h%C3%A3ng-i.903054328.20670340108?sp_atk=db0b276a-33a2-4ee9-84b5-7eb1e4f03287&xptdk=db0b276a-33a2-4ee9-84b5-7eb1e4f03287,300000,84900000
2,Thỏ giá đỡ điện thoại máy tính để bàn ipad clip trực tiếp lớp học trực tuyến lười biếng phổ quát dễ thương,https://shopee.vn/Th%E1%BB%8F-gi%C3%A1-%C4%91%E1%BB%A1-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-m%C3%A1y-t%C3%ADnh-%C4%91%E1%BB%83-b%C3%A0n-ipad-clip-tr%E1%BB%B1c-ti%E1%BA%BFp-l%E1%BB%9Bp-h%E1%BB%8Dc-tr%E1%BB%B1c-tuy%E1%BA%BFn-l%C6%B0%E1%BB%9Di-bi%E1%BA%BFng-ph%E1%BB%95-qu%C3%A1t-d%E1%BB%85-th%C6%B0%C6%A1ng-i.353430751.23912362448?sp_atk=99b81fe6-1ee4-48bb-9a93-3719c0d7a892&xptdk=99b81fe6-1ee4-48bb-9a93-3719c0d7a892,25900,214970000
3,Khay xốp để điện thoại 55 ngăn (KT:50*28*10cm),https://shopee.vn/Khay-x%E1%BB%91p-%C4%91%E1%BB%83-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-55-ng%C4%83n-(KT-50*28*10cm)-i.24955895.22018767518?sp_atk=a21ae78a-8bf7-457d-88df-dffa29d28f9d&xptdk=a21ae78a-8bf7-457d-88df-dffa29d28f9d,180000,54720000
4,Cường lực bảo vệ camera iphone 11 pro max 12 pro max 13 pro max 14 pro max Mắt cam đính đá kim cương cao cấp,https://shopee.vn/C%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-b%E1%BA%A3o-v%E1%BB%87-camera-iphone-11-pro-max-12-pro-max-13-pro-max-14-pro-max-M%E1%BA%AFt-cam-%C4%91%C3%ADnh-%C4%91%C3%A1-kim-c%C6%B0%C6%A1ng-cao-c%E1%BA%A5p-i.304920136.23926368866?sp_atk=47be85cf-7ed4-46b8-ad79-bda2161931a9&xptdk=47be85cf-7ed4-46b8-ad79-bda2161931a9,28000,81200000
5,Điện Thoại Samsung Galaxy S22 Ultra - Hàng Chính hãng,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S22-Ultra-H%C3%A0ng-Ch%C3%ADnh-h%C3%A3ng-i.840757037.18553661337?sp_atk=25fa8d58-f225-4207-8ed1-c03612a0eee6&xptdk=25fa8d58-f225-4207-8ed1-c03612a0eee6,28000000,67200000000
6,Miếng dán điện thoại lung linh phù hợp các dòng máy điện thoại,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-lung-linh-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-m%C3%A1y-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-i.459303450.12145919931?sp_atk=67002712-3c2b-4ae0-a81d-ad01836d6b24&xptdk=67002712-3c2b-4ae0-a81d-ad01836d6b24,3500,44800000
7,màn hình oppo a3s zin + tặng cường lực + tăng keo dán màn + tặng mèo thần tài + bộ tua vít 6 món,https://shopee.vn/m%C3%A0n-h%C3%ACnh-oppo-a3s-zin-t%E1%BA%B7ng-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-t%C4%83ng-keo-d%C3%A1n-m%C3%A0n-t%E1%BA%B7ng-m%C3%A8o-th%E1%BA%A7n-t%C3%A0i-b%E1%BB%99-tua-v%C3%ADt-6-m%C3%B3n-i.119372979.16267848708?sp_atk=7e2a71b5-bfcd-452e-9e64-e2e80ad8c9b2&xptdk=7e2a71b5-bfcd-452e-9e64-e2e80ad8c9b2,149000,84632000
8,Dây sạc nhanh chính hãng Earldom EC-121 sạc nhanh 2.1A bọc dù chắc chắn đầu chống gẫy gập,https://shopee.vn/D%C3%A2y-s%E1%BA%A1c-nhanh-ch%C3%ADnh-h%C3%A3ng-Earldom-EC-121-s%E1%BA%A1c-nhanh-2.1A-b%E1%BB%8Dc-d%C3%B9-ch%E1%BA%AFc-ch%E1%BA%AFn-%C4%91%E1%BA%A7u-ch%E1%BB%91ng-g%E1%BA%ABy-g%E1%BA%ADp-i.394941304.3034641094?sp_atk=8d085464-0af1-441d-9a29-72cf8f50b15f&xptdk=8d085464-0af1-441d-9a29-72cf8f50b15f,32000,70400000
9,"Điện thoại mini L8STAR BM10 siêu nhỏ, 2 sim 2 sóng siêu nhỏ, đổi giọng nói, kết nối bluetooth, nghe nhạc,có thẻ nhớ",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-mini-L8STAR-BM10-si%C3%AAu-nh%E1%BB%8F-2-sim-2-s%C3%B3ng-si%C3%AAu-nh%E1%BB%8F-%C4%91%E1%BB%95i-gi%E1%BB%8Dng-n%C3%B3i-k%E1%BA%BFt-n%E1%BB%91i-bluetooth-nghe-nh%E1%BA%A1c-c%C3%B3-th%E1%BA%BB-nh%E1%BB%9B-i.699566013.22723238985?sp_atk=87fc5598-1fcf-4e15-92f7-1e59847adad6&xptdk=87fc5598-1fcf-4e15-92f7-1e59847adad6,56000,26096000
10,Pin a37 BLP615 zin hãng bóc máy chất lượng tốt,https://shopee.vn/Pin-a37-BLP615-zin-h%C3%A3ng-b%C3%B3c-m%C3%A1y-ch%E1%BA%A5t-l%C6%B0%E1%BB%A3ng-t%E1%BB%91t-i.203242373.18756988409?sp_atk=c77352a8-0966-460c-a51c-59d3f47cb18b&xptdk=c77352a8-0966-460c-a51c-59d3f47cb18b,55000,12265000
